Data Set 1:Time(s),Data Set 1:Position Y 1(m),Data Set 1:Velocity Y 1(m/s),Data Set 1:Acceleration Y 1(m/s??),Data Set 1:Position Y 2(m),Data Set 1:Velocity Y 2(m/s),Data Set 1:Acceleration Y 2(m/s??),Data Set 2:Time(s),Data Set 2:Position Y 1(m),Data Set 2:Velocity Y 1(m/s),Data Set 2:Acceleration Y 1(m/s??),Data Set 2:Position Y 2(m),Data Set 2:Velocity Y 2(m/s),Data Set 2:Acceleration Y 2(m/s??),Data Set 3:Time(s),Data Set 3:Position Y 1(m),Data Set 3:Velocity Y 1(m/s),Data Set 3:Acceleration Y 1(m/s??),Data Set 3:Position Y 2(m),Data Set 3:Velocity Y 2(m/s),Data Set 3:Acceleration Y 2(m/s??),Data Set 4:Time(s),Data Set 4:Position Y 1(m),Data Set 4:Velocity Y 1(m/s),Data Set 4:Acceleration Y 1(m/s??),Data Set 4:Position Y 2(m),Data Set 4:Velocity Y 2(m/s),Data Set 4:Acceleration Y 2(m/s??),Data Set 5:Time(s),Data Set 5:Position Y 1(m),Data Set 5:Velocity Y 1(m/s),Data Set 5:Acceleration Y 1(m/s??),Data Set 5:Position Y 2(m),Data Set 5:Velocity Y 2(m/s),Data Set 5:Acceleration Y 2(m/s??),Data Set 6:Time(s),Data Set 6:Position Y 1(m),Data Set 6:Velocity Y 1(m/s),Data Set 6:Acceleration Y 1(m/s??),Data Set 6:Position Y 2(m),Data Set 6:Velocity Y 2(m/s),Data Set 6:Acceleration Y 2(m/s??),Data Set 7:Time(s),Data Set 7:Position Y 1(m),Data Set 7:Velocity Y 1(m/s),Data Set 7:Acceleration Y 1(m/s??),Data Set 7:Position Y 2(m),Data Set 7:Velocity Y 2(m/s),Data Set 7:Acceleration Y 2(m/s??),Data Set 9:Time(s),Data Set 9:Position Y 1(m),Data Set 9:Velocity Y 1(m/s),Data Set 9:Acceleration Y 1(m/s??),Data Set 9:Position Y 2(m),Data Set 9:Velocity Y 2(m/s),Data Set 9:Acceleration Y 2(m/s??),Data Set 11:Time(s),Data Set 11:Position Y 1(m),Data Set 11:Velocity Y 1(m/s),Data Set 11:Acceleration Y 1(m/s??),Data Set 11:Position Y 2(m),Data Set 11:Velocity Y 2(m/s),Data Set 11:Acceleration Y 2(m/s??),Data Set 12:Time(s),Data Set 12:Position Y 1(m),Data Set 12:Velocity Y 1(m/s),Data Set 12:Acceleration Y 1(m/s??),Data Set 12:Position Y 2(m),Data Set 12:Velocity Y 2(m/s),Data Set 12:Acceleration Y 2(m/s??)
0.02,2.195683241,0,0,1.236297011,0,0.785433089,0.02,3.223194122,0,0,1.249284863,0,0,0.02,3.916451693,0,0,1.257616758,0,0,0.02,3.916206598,0,0,1.266928792,0,0,0.02,3.914736271,-0.004080931,0.063528387,1.27918148,0.001361635,0.143421699,0.02,3.914491415,0,0,1.292169333,-0.001361635,-0.016334892,0.02,4.265898705,0,0,1.480125666,0.838969813,-0.020030713,0.02,4.270309448,0,0,3.837544441,0,0,0.02,4.282562256,0,0,3.311903715,0,0,0.02,4.292609692,0,0,3.308717966,0,0
0.06,2.195683241,0,0,1.236297011,0.014039502,1.643475846,0.06,3.223194122,0,0,1.249284863,0,0,0.06,3.916451693,0,0,1.257616758,0,0,0.06,3.916206598,0,0,1.266928792,0,0,0.06,3.914491415,-0.001530349,0.055853024,1.27918148,0.002212657,0.490837776,0.06,3.914491415,0,0,1.292169333,-0.002467963,-0.001217434,0.06,4.265898705,0,0,1.513698101,0.83837356,-0.024302569,0.06,4.270309448,0,0,3.837544441,0,0,0.06,4.282562256,0,0,3.311903715,0,0,0.06,4.292609692,0,0.015599308,3.308717966,0,0
0.1,2.195683241,0,0,1.236297011,0.067083389,3.162618226,0.1,3.223194122,0,0,1.249284863,0,0,0.1,3.916451693,0,0,1.257616758,0,0,0.1,3.916206598,0,0,1.266928792,0,0,0.1,3.914491415,0.001530349,0.031457179,1.279426575,0.013376077,1.319355504,0.1,3.914491415,0,0,1.291924238,-0.002246698,0.01925437,0.1,4.265898705,0,0,1.547270417,0.836858849,-0.02477882,0.1,4.270309448,0,0,3.837544441,0,0,0.1,4.282562256,0,0,3.311903715,0,0,0.1,4.292609692,0,0.099835848,3.308717966,0,0
0.14,2.195683241,0,0,1.236297011,0.237906145,5.103244866,0.14,3.223194122,0,0,1.249284863,0,0,0.14,3.916451693,0,0,1.257616758,0,0,0.14,3.916206598,0,0,1.266928792,0,0,0.14,3.914736271,0.001870427,-0.009328518,1.279426575,0.060922735,3.081081746,0.14,3.914491415,0,0,1.291924238,-0.000510613,0.030294015,0.14,4.265898705,0,0,1.580597758,0.836246875,-0.022318231,0.14,4.270309448,0,0,3.837544441,0,0,0.14,4.282562256,0,0,3.311903715,0,0,0.14,4.292609692,0,0.478498822,3.308717966,0,0
0.18,2.195683241,0,0,1.249774933,0.540820095,5.468442961,0.18,3.223194122,0,0,1.249284863,0,0,0.18,3.916451693,0,0,1.257616758,0,0,0.18,3.916206598,0,0,1.266928792,0,0,0.18,3.914736271,0,-0.031646111,1.27918148,0.241649648,5.143247269,0.18,3.914491415,0,0,1.291924238,0.000510613,0.032516127,0.18,4.265898705,0,0,1.614170194,0.835566305,-0.030761625,0.18,4.270309448,0,0,3.837544441,0,0,0.18,4.282562256,0,0,3.311903715,0,0,0.18,4.292609692,0.014975336,1.571167398,3.308717966,0,0
0.22,2.195683241,0,0,1.283102274,0.76409181,3.65310014,0.22,3.223194122,0,0,1.249284863,0,0,0.22,3.916451693,0,0,1.257616758,0,0,0.22,3.916206598,0,0,1.266928792,0,0,0.22,3.914736271,-0.002040466,-0.020310191,1.293394566,0.54354262,5.403743206,0.22,3.914491415,0,0,1.291924238,0.002382861,0.025081506,0.22,4.265898705,0,0,1.647497535,0.83369414,-0.038128484,0.22,4.270309448,0,0,3.837544441,0,0,0.22,4.282562256,0,0,3.311903715,0,0,0.22,4.292609692,0.082364678,3.602170604,3.308717966,0,0
0.26,2.195683241,0,0,1.317164779,0.834885322,1.590325164,0.26,3.223194122,0,0,1.249284863,0,0,0.26,3.916451693,0,0,1.257616758,0,0,0.26,3.916206598,0,0,1.266928792,0,0,0.26,3.914491415,-0.002210504,0.006848785,1.326476812,0.759667324,3.544991709,0.26,3.914491415,0,0,1.292169333,0.002893474,0.007091849,0.26,4.265898705,0,0,1.680824876,0.832502709,-0.044559646,0.26,4.270309448,0,0,3.837544441,0,0,0.26,4.282562256,0,0,3.311903715,0,0,0.26,4.292609692,0.307166245,5.339400636,3.308717966,0,0
0.3,2.195683241,0,0,1.351227283,0.849520581,0.44399723,0.3,3.223194122,0,0,1.249284863,0,0,0.3,3.916451693,0,0,1.257616758,0,0.003899827,0.3,3.916206598,0,0,1.266928792,0,0,0.3,3.914491415,-0.000680155,0.017003881,1.360294342,0.826036019,1.507597447,0.3,3.914491415,0,0,1.292169333,0.002893474,-0.010992366,0.3,4.265898705,0,0,1.714152217,0.830119848,-0.048222503,0.3,4.270309448,0,0,3.837544441,0,0,0.3,4.282562256,0,0,3.311903715,0,0,0.3,4.314174175,0.599700212,4.87037325,3.308717966,0,0
0.34,2.195683241,0,0,1.385289788,0.846117238,0.026943852,0.34,3.223194122,0,0,1.249284863,0,0,0.34,3.916451693,0,0,1.257616758,0,0.042543793,0.34,3.916206598,0,0,1.266928792,0,0,0.34,3.914491415,-0.000170039,0.010273178,1.393866658,0.837267356,0.424498612,0.34,3.914491415,0,0,1.292414427,0.002212657,-0.031558728,0.34,4.265898705,0,0,1.747234464,0.827907274,-0.034980993,0.34,4.270309448,0,0,3.837544441,0,0,0.34,4.282562256,0,0,3.311903715,0,0,0.34,4.346521378,0.758306848,2.812528638,3.308717966,0,0
0.38,2.195683241,0,0,1.418862224,0.843224012,-0.048220721,0.38,3.223194122,0,0,1.249284863,0,0,0.38,3.916451693,0,0,1.257616758,0,0.255381355,0.38,3.916206598,0,0,1.266928792,0,0,0.38,3.914491415,0,0.004014805,1.427193999,0.836417079,0.05602118,0.38,3.914491415,0,0,1.292414427,0,-0.039714354,0.38,4.265898705,0,0,1.78031671,0.827226705,-0.020437471,0.38,4.270309448,0,0,3.837544441,0,0,0.38,4.282562256,0,0,3.311903715,0,0,0.38,4.379113674,0.802722573,1.079177737,3.308717966,0,0
